Bill Amount,Tip Amount,Credit Card,Number of Guests,Day of Week,Server,Tip Percentage
23.70,10.00,n,2,f,A,42.20
36.11,7.00,n,3,f,B,19.40
31.99,5.01,y,2,f,A,15.70
17.39,3.61,y,2,f,B,20.80
15.41,3.00,n,2,f,B,19.50
18.62,2.50,n,2,f,A,13.40
21.56,3.44,n,2,f,B,16.00
19.58,2.42,n,2,f,A,12.40
23.59,3.00,n,2,f,A,12.70
18.67,2.00,n,2,f,B,10.70
15.19,1.75,n,1,f,B,11.50
10.17,2.10,n,1,f,A,20.60
8.08,1.00,n,1,f,B,12.40
8.83,1.25,n,2,f,B,14.20
8.88,1.12,n,2,f,B,12.60
17.49,3.00,n,3,f,B,17.20
18.40,2.60,n,2,f,C,14.10
29.05,5.91,y,2,th,C,20.30
9.31,1.25,n,1,th,C,13.40
41.94,7.06,y,5,th,C,16.80
55.59,10.00,n,5,th,C,18.00
25.09,5.00,y,2,th,C,19.90
13.11,2.00,n,1,th,C,15.30
49.59,10.41,y,4,th,C,21.00
36.86,6.14,y,2,th,B,16.70
22.68,3.55,n,2,th,A,15.70
29.53,4.47,y,3,th,B,15.10
18.62,3.11,n,2,th,A,16.70
31.35,4.50,n,2,th,A,14.40
24.34,4.00,y,3,th,C,16.40
39.80,6.30,y,2,th,C,15.80
12.54,2.00,n,2,th,B,15.90
13.38,2.00,n,2,th,B,14.90
16.53,2.47,n,2,th,A,14.90
16.85,3.00,n,2,th,B,17.80
15.73,5.00,n,2,th,B,31.80
31.14,5.00,n,3,th,B,16.10
18.14,2.75,n,2,th,A,15.20
9.58,1.42,n,1,th,A,14.80
35.90,5.00,n,3,th,B,13.90
17.44,3.70,n,2,w,A,21.20
19.69,2.31,n,2,w,B,11.70
59.33,10.00,y,6,w,B,16.90
9.36,1.44,y,1,w,B,15.40
10.59,1.50,n,1,w,B,14.20
31.94,8.06,n,3,w,A,25.20
22.26,3.74,y,2,w,B,16.80
20.33,4.00,n,2,w,B,19.70
10.17,1.83,n,1,w,A,18.00
9.20,1.80,n,1,w,A,19.60
21.88,4.00,n,3,w,B,18.30
20.87,3.13,y,2,w,B,15.00
17.39,3.61,n,2,w,A,20.80
7.97,1.03,n,2,w,C,12.90
32.31,4.69,n,2,w,A,14.50
7.70,1.00,n,1,w,C,13.00
7.76,1.00,n,1,w,C,12.90
23.43,4.00,n,2,w,C,17.10
38.73,5.70,n,2,w,A,14.70
70.51,10.49,y,2,w,A,14.90
60.72,15.00,y,1,w,A,24.70
30.98,5.02,y,1,w,A,16.20
23.27,3.73,n,2,w,B,16.00
25.95,4.05,y,2,th,B,15.60
29.64,6.00,n,2,th,A,20.20
8.29,1.00,y,2,th,A,12.10
26.16,4.53,n,1,th,A,17.30
34.94,6.96,y,2,th,A,19.90
53.54,9.00,y,2,t,A,16.80
22.47,4.00,y,2,th,A,17.80
37.24,6.70,y,2,f,A,18.00
23.65,3.15,n,2,f,C,13.30
28.89,3.46,n,2,f,A,12.00
21.24,3.62,n,2,f,A,17.00
20.22,2.00,n,2,f,C,9.90
7.54,1.26,n,3,f,A,16.70
22.36,3.00,n,2,f,C,13.40
27.98,5.42,n,2,f,C,19.40
22.95,4.05,y,2,f,C,17.60
